,account_value,date,daily_return,datadate
0,1000000.0,2024-03-04,,2024-03-04
1,977310.9562400002,2024-03-05,-0.0226890437599998,2024-03-05
2,985381.0201,2024-03-06,0.0082574167499849,2024-03-06
3,994809.6484170002,2024-03-07,0.0095685101749201,2024-03-07
4,986347.6766970002,2024-03-08,-0.0085061214810946,2024-03-08
5,967565.458264,2024-03-11,-0.0190421885474464,2024-03-11
6,979473.268264,2024-03-12,0.0123069812985727,2024-03-12
7,966449.0834640004,2024-03-13,-0.0132971314501351,2024-03-13
8,942269.584504,2024-03-14,-0.0250189061935209,2024-03-14
9,943751.0082240002,2024-03-15,0.0015721867121285,2024-03-15
10,951348.4770340004,2024-03-18,0.0080502894765617,2024-03-18
11,949932.3211557004,2024-03-19,-0.0014885774376968,2024-03-19
12,958083.9884857002,2024-03-20,0.0085813137930526,2024-03-20
13,963143.3084857004,2024-03-21,0.005280664389347,2024-03-21
14,969771.3833457005,2024-03-22,0.0068817119961317,2024-03-22
15,968801.6368557004,2024-03-25,-0.000999974330707,2024-03-25
16,952442.1195320004,2024-03-26,-0.0168863436036251,2024-03-26
17,928334.1809320004,2024-03-27,-0.02531170987256,2024-03-27
18,929425.4666620004,2024-03-28,0.0011755311313697,2024-03-28
19,929495.4809420004,2024-04-01,7.533070968190891e-05,2024-04-01
20,920123.5009420002,2024-04-02,,2024-04-02
21,915109.9316320004,2024-04-03,-0.0054488004108871,2024-04-03
22,913352.9961020004,2024-04-04,-0.0019199174539246,2024-04-04
23,922038.5728120006,2024-04-05,0.0095095507947839,2024-04-05
24,926319.1198520006,2024-04-08,0.0046424815254153,2024-04-08
25,926766.7098520008,2024-04-09,0.0004831920127823,2024-04-09
26,912148.1498520006,2024-04-10,-0.0157737215251663,2024-04-10
27,920842.1361520007,2024-04-11,0.0095313313976581,2024-04-11
28,899501.0118620007,2024-04-12,-0.023175660031349,2024-04-12
29,891858.6665220006,2024-04-15,-0.0084962053841164,2024-04-15
30,895040.2265220005,2024-04-16,0.0035673365292363,2024-04-16
31,895098.4106220006,2024-04-17,6.500724579283634e-05,2024-04-17
32,894696.3365020007,2024-04-18,-0.0004491954350812,2024-04-18
33,893092.6919020007,2024-04-19,-0.0017923898138108,2024-04-19
34,898192.9562320006,2024-04-22,0.0057107894580774,2024-04-22
35,907369.5862320008,2024-04-23,0.0102167690542764,2024-04-23
36,929643.4171620008,2024-04-24,0.0245476939804603,2024-04-24
37,938521.7366220008,2024-04-25,0.0095502418412249,2024-04-25
38,945602.3766220008,2024-04-26,0.0075444603185059,2024-04-26
39,982979.1208220008,2024-04-29,0.0395269144029881,2024-04-29
40,955196.7808220008,2024-04-30,,2024-04-30
41,944927.2324120008,2024-05-01,-0.0107512385051825,2024-05-01
42,941869.0011720008,2024-05-02,-0.0032364727516567,2024-05-02
43,956334.5698320006,2024-05-03,0.0153583658045861,2024-05-03
44,968800.2718920008,2024-05-06,0.0130348755061628,2024-05-06
45,956455.1038920009,2024-05-07,-0.0127427379596937,2024-05-07
46,952306.9971120008,2024-05-08,-0.0043369592185985,2024-05-08
47,958034.1027220008,2024-05-09,0.0060139278902373,2024-05-09
48,957322.2481620008,2024-05-10,-0.0007430367645342,2024-05-10
49,951542.6380520008,2024-05-13,-0.006037267096943,2024-05-13
50,963318.2198920008,2024-05-14,0.0123752540023924,2024-05-14
51,976731.5729464012,2024-05-15,0.0139241143553829,2024-05-15
52,966838.387396401,2024-05-16,-0.0101288683851555,2024-05-16
53,956110.193316401,2024-05-17,-0.0110961606612352,2024-05-17
54,943919.5416164012,2024-05-20,-0.0127502580614843,2024-05-20
55,934521.944016401,2024-05-21,-0.0099559307606953,2024-05-21
56,893602.9940164011,2024-05-22,-0.0437859702086157,2024-05-22
57,889361.6757664011,2024-05-23,-0.0047463115929557,2024-05-23
58,890127.5810164012,2024-05-24,0.0008611853544735,2024-05-24
59,879728.7984264011,2024-05-28,-0.0116823507233941,2024-05-28
