account_rewards,date
-22689.043759999797,2024-03-04
8070.063859999878,2024-03-05
9428.628317000112,2024-03-06
-8461.97172000003,2024-03-07
-18782.21843300003,2024-03-08
11907.80999999994,2024-03-11
-13024.184799999814,2024-03-12
-24179.498960000114,2024-03-13
1481.423720000079,2024-03-14
7597.468810000108,2024-03-15
-1416.15587830008,2024-03-18
8151.6673299999675,2024-03-19
5059.320000000065,2024-03-20
6628.074860000052,2024-03-21
-969.7464900000487,2024-03-22
-16359.517323699896,2024-03-25
-24107.93860000011,2024-03-26
1091.2857300001197,2024-03-27
70.01428000000305,2024-03-28
