date,AAPL.US,AMD.US,CCL.US,GLD.US,INTC.US,JD.US,LULU.US,META.US,MSFT.US,NVDA.US,ORCL.US,PLTR.US,TSLA.US
2024-04-02,0,0,-3,0,0,2,0,0,0,0,-4,0,3
2024-04-03,0,0,0,1,0,3,0,877,1000,-1000,0,1000,0
2024-04-04,0,439,0,1000,3,-5,1000,-877,-462,-28,0,1000,-3
2024-04-05,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-10,0,0,0,0,-3,0,0,0,0,0,0,5,0
2024-04-11,0,-439,0,0,2,0,0,0,121,0,0,1000,0
2024-04-12,0,0,0,0,0,0,0,0,-160,0,0,7,393
2024-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-16,0,0,0,0,0,0,0,0,-51,0,0,964,0
2024-04-17,0,0,0,0,0,0,0,80,0,0,1,1000,-393
2024-04-18,0,0,0,0,-2,0,0,0,0,0,0,4,0
2024-04-19,0,0,0,0,0,4,0,-80,0,0,-1,-560,339
2024-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-23,0,0,0,0,0,-4,0,0,-448,0,139,1000,1000
2024-04-24,0,0,0,0,0,0,0,0,0,0,-139,6,98
2024-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-26,0,0,0,0,6,0,0,0,13,0,0,-243,0
